"Title","Default language","Default text","ja text","Variant status","Placeholder"
"Commerce::Service Life Description","English","Reference the end of life policy for Liferay Commerce.","Liferay Commerceのサービス終了ポリシーを参照","Active","dc.commerce-service_life_description"
"Commerce::Support Coverage Card Description","English","Learn more about support coverage for Liferay Commerce.","Liferay Commerceのサポート範囲を確認","Active","dc.commerce-support_coverage_card_description"
"Component::APIs","English","APIs","API","Active","dc.component-apis"
"Component::APIs, Integrations and Extension Points","English","APIs, Integrations and Extension Points","API、インテグレーション、拡張ポイント","Active","dc.component-apis_integrations_and_extension_points"
"Component::Application Display Templates","English","Application Display Templates","アプリケーションディスプレイテンプレート","Active","dc.component-application_display_templates"
"Component::Audience Targeting","English","Audience Targeting","オーディエンスターゲティング","Active","dc.component-audience_targeting"
"Component::Authentication","English","Authentication","認証","Active","dc.component-authentication"
"Component::Backup / Recovery","English","Backup / Recovery","バックアップ、リカバリー","Active","dc.component-backup_recovery"
"Component::Caching & Clustering","English","Caching & Clustering","キャッシングとクラスタリング","Active","dc.component-caching_clustering"
"Component::Calendar","English","Calendar","カレンダー","Active","dc.component-calendar"
"Component::Collaboration Suite","English","Collaboration Suite","Collaboration Suite","Active","dc.component-collaboration_suite"
"Component::Commerce Insights","English","Commerce Insights","Commerce Insights","Active","dc.component-commerce_insights"
"Component::Configuration and Settings","English","Configuration and Settings","構成と設定","Active","dc.component-configuration_and_settings"
"Component::Connectivity","English","Connectivity","接続性","Active","dc.component-connectivity"
"Component::Connectors","English","Connectors","コネクタ","Active","dc.component-connectors"
"Component::Deployment, Environments","English","Deployment, Environments","デプロイメント、環境","Active","dc.component-deployment_environments"
"Component::Developer Tools","English","Developer Tools","開発ツール","Active","dc.component-developer_tools"
"Component::Digital Merchandise Management","English","Digital Merchandise Management","Digital Merchandise Management","Active","dc.component-digital_merchandise_management"
"Component::Digital Store Management","English","Digital Store Management","Digital Store Management","Active","dc.component-digital_store_management"
"Component::Document Management","English","Document Management","ドキュメント管理","Active","dc.component-document_management"
"Component::Dynamic Data Mapping & Data Lists","English","Dynamic Data Mapping & Data Lists","ダイナミックデータマッピング／データリスト","Active","dc.component-dynamic_data_mapping_data_lists"
"Component::Forms","English","Forms","フォーム","Active","dc.component-forms"
"Component::Liferay API","English","Liferay API","Liferay API","Active","dc.component-liferay_api"
"Component::Liferay Sync","English","Liferay Sync","Liferay Sync","Active","dc.component-liferay_sync"
"Component::Localization","English","Localization","ローカライゼーション","Active","dc.component-localization"
"Component::Networking","English","Networking","ネットワーキング","Active","dc.component-networking"
"Component::Patch Management","English","Patch Management","パッチ管理","Active","dc.component-patch_management"
"Component::Performance","English","Performance","パフォーマンス","Active","dc.component-performance"
"Component::Portal Configuration","English","Portal Configuration","ポータル設定","Active","dc.component-portal_configuration"
"Component::Recycle Bin","English","Recycle Bin","ゴミ箱","Active","dc.component-recycle_bin"
"Component::Reporting","English","Reporting","報告（レポート）","Active","dc.component-reporting"
